Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg) is the more effective option because it achieves at least noninferior functional outcomes compared with alteplase overall and provides superior early reperfusion in suspected large-vessel occlusion, which is plausible here given the moderate NIHSS and expressive aphasia.",1.0,"CORRECT. The student identifies tenecteplase 0.25 mg/kg as at least noninferior to alteplase and notes its functional advantages, aligning with the guideline statement that tenecteplase is recommended to improve functional outcomes. The added point about early reperfusion in suspected LVO does not contradict the reference."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer intravenous thrombolysis (e.g., alteplase) now after standard eligibility checks and blood pressure control, because he presents within 4.5 hours with a disabling ischemic stroke (aphasia) and no hemorrhage on CT despite a low NIHSS.",1.0,"CORRECT: The student recommends immediate IV thrombolysis within 4.5 hours for a disabling ischemic stroke (aphasia) with no hemorrhage on CT, consistent with guidelines, and does not introduce delays for additional imaging."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis (alteplase or tenecteplase) now, because the DWI–FLAIR mismatch in this wake-up stroke indicates onset within the 4.5-hour window and his mild-but-disabling deficits (neglect/arm weakness) warrant treatment, assuming no contraindications.",1.0,"CORRECT: The student recommends IV thrombolysis based on a DWI–FLAIR mismatch in a wake-up stroke, which aligns with extended-window thrombolysis criteria for unknown onset. They appropriately note disabling symptoms and the need to exclude contraindications."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy (preferably aspirin plus short-course clopidogrel) is recommended rather than IV tenecteplase because this presentation represents a minor, likely nondisabling ischemic stroke (NIHSS 3) where trials and guidelines show no net benefit and potential bleeding risk from thrombolysis.",1.0,"CORRECT: The student recommends antiplatelet therapy with short-course dual therapy (aspirin plus clopidogrel) rather than IV tenecteplase for a minor, nondisabling stroke (NIHSS 3), which aligns with guidelines. While duration (21 days) wasn’t specified, the key recommendation matches the reference."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport to the nearby primary stroke center for immediate imaging and IV thrombolysis with expedited transfer for thrombectomy if LVO is confirmed (drip-and-ship), because the 45-minute additional transport time to the comprehensive center exceeds recommended bypass thresholds (≈15–30 minutes) and would unnecessarily delay reperfusion therapy.",1.0,"CORRECT: The student recommends transport to the closer primary stroke center with drip-and-ship if LVO is confirmed, aligning with guidelines that direct transport to a more distant thrombectomy center does not improve outcomes and can delay reperfusion. The mention of bypass thresholds (≈15–30 minutes) is consistent with common recommendations."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Administer IV alteplase immediately (if no contraindications) and proceed emergently to endovascular mechanical thrombectomy, because a proximal basilar artery occlusion within 4 hours with a small infarct core and substantial salvageable posterior circulation tissue has the greatest chance of favorable outcome with rapid reperfusion.",1.0,"CORRECT: The student recommends urgent endovascular thrombectomy, which matches guideline-supported management for basilar artery occlusion with small core and salvageable tissue. Including IV alteplase within 4 hours is appropriate and does not contradict the reference."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Withhold any antiplatelet or anticoagulant therapy for the first 24 hours after IV thrombolysis and start antiplatelet (e.g., aspirin) only after a 24-hour CT/MRI excludes hemorrhage, because early adjunct antithrombotics do not improve outcomes and increase symptomatic intracranial hemorrhage risk.",1.0,"CORRECT. The student explicitly advises against adding adjunct antithrombotic agents during IV thrombolysis and notes they do not improve outcomes and increase hemorrhage risk, aligning with the reference. The added detail about waiting 24 hours and obtaining imaging before starting aspirin is guideline-concordant."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Per AHA/ASA guidelines, start insulin to keep glucose 140–180 mg/dL to reduce hyperglycemia-related complications and, because he received reperfusion therapy, maintain blood pressure below 180/105 mm Hg for at least 24 hours (so with SBP 155–165 mm Hg no acute BP lowering is needed unless it rises above this threshold).",1.0,"CORRECT: The student targets glucose 140–180 mg/dL, which aligns with avoiding intensive control. For blood pressure after reperfusion, maintaining <180/105 mm Hg with no acute lowering at 155–165 mm Hg is consistent with a 140–180 mm Hg systolic target and avoiding intensive lowering below 140."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to AHA/ASA pediatric stroke guidance, this 12-year-old with disabling acute ischemic stroke from a CTA-proven left M1 occlusion within 90 minutes and no hemorrhage should undergo emergent endovascular thrombectomy at a pediatric thrombectomy-capable center (transfer if needed), with IV alteplase not routinely recommended in children but potentially considered within 4.5 hours in carefully selected cases after pediatric stroke specialist consultation.",1.0,"CORRECT. The student emphasizes endovascular thrombectomy for pediatric large vessel occlusion at experienced centers, aligning with guidelines, and notes specialist involvement. The mention that IV alteplase is not routinely recommended but may be considered in selected cases does not contradict the reference."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because MSUs can perform immediate on-scene CT/tele-neurology evaluation and give thrombolysis with direct triage to a thrombectomy-capable center, reducing treatment delays and improving functional outcomes compared with conventional EMS.",1.0,"CORRECT: The student selects the mobile stroke unit and justifies it with faster on-scene imaging/assessment and thrombolysis, aligning with the guideline that MSUs expedite identification and treatment of eligible patients."
