Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Based on the 2026 AHA/ASA guideline, tenecteplase at a dose of 0.25 mg/kg (maximum 25 mg) is recommended over alteplase (0.9 mg/kg) for this patient, as recent phase 3 randomized controlled trials have demonstrated noninferiority of tenecteplase compared to alteplase for primary functional outcomes with similar safety profiles, and tenecteplase offers practical advantages including ease of administration as a single intravenous bolus rather than the bolus-plus-infusion regimen required for alteplase, reducing the potential for dosing errors and treatment delays in a patient like this 48-year-old woman presenting well within the 4.5-hour treatment window with a clearly disabling deficit (NIHSS 12) and no contraindications on imaging.",1.0,"CORRECT: The student correctly identifies that tenecteplase 0.25 mg/kg (max 25 mg) is an appropriate choice within 4.5 hours and is noninferior to alteplase 0.9 mg/kg, aligning with the recommendation favoring tenecteplase for functional outcomes. Dosing and clinical context are accurate."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Based on the 2026 AHA/ASA guidelines, the most appropriate next step is to administer intravenous thrombolysis (IVT), because although this patient's NIHSS score is 4 (classified as minor stroke), his language impairment constitutes a ""clearly disabling"" deficit — specifically, severe aphasia scoring ≥2 on the NIHSS ""best language"" question, as evidenced by his inability to name common objects or communicate his needs clearly — and Table 4 of the guidelines explicitly identifies severe aphasia (≥2 on the NIHSS best language question) as a clearly disabling deficit for which IVT is recommended, since the PRISMS trial showed no benefit of alteplase over aspirin only in patients with mild, *non-disabling* deficits, whereas patients with persisting disabling deficits after appropriate evaluation should receive IVT to improve functional outcomes.",1.0,"CORRECT: The student recommends immediate IV thrombolysis for a disabling aphasia within the treatment window, consistent with guidelines. The rationale that severe aphasia is a clearly disabling deficit warranting IVT despite a low NIHSS is accurate."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Based on the guidelines, the most appropriate next step is to administer intravenous thrombolysis (IVT), because this patient with wake-up stroke and unknown time of onset >4.5 hours from last known well demonstrates a DWI-FLAIR mismatch on MRI (restricted diffusion on DWI without corresponding FLAIR signal change), which indicates that the ischemic injury is likely still within a treatable time window, and the guidelines state that ""MRI DWI-FLAIR mismatch selection can be useful to determine eligibility for extended window IVT"" (COR 2a, LOE B-R), consistent with the WAKE-UP trial criteria that used this mismatch to identify patients who could benefit from thrombolysis in the setting of wake-up or unknown-onset strokes.",1.0,"CORRECT: The student correctly recommends IV thrombolysis based on DWI-FLAIR mismatch in a wake-up/unknown-onset stroke, aligning with guideline-supported extended-window thrombolysis using advanced imaging selection."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient presents with a minor noncardioembolic acute ischemic stroke (NIHSS score of 3) within 2 hours of symptom onset, and while she is technically eligible for IV thrombolysis (IVT) given presentation within 4.5 hours, her deficits—right facial droop, mild (4+/5) weakness in the right arm and leg, and decreased sensation—are relatively mild and may be considered nondisabling, which means the benefit of IVT must be weighed against bleeding risk; given that the guidelines support early dual antiplatelet therapy (DAPT) with clopidogrel and aspirin initiated within 24 hours of symptom onset for patients with minor noncardioembolic AIS (NIHSS ≤3) who did not receive IVT, continued for 21 days followed by single antiplatelet therapy (SAPT), to reduce the 90-day risk of recurrent ischemic stroke (Recommendation 12), and considering that there is a recognized knowledge gap regarding standardized definitions of ""nondisabling"" minor stroke deficits, the most guideline-concordant approach for this patient would be to forgo IV tenecteplase and instead initiate early DAPT (aspirin plus clopidogrel) within 24 hours of symptom onset, as her low NIHSS score and lack of clearly disabling deficits favor antiplatelet therapy over thrombolysis, though clinical judgment should be exercised—particularly if the treating clinician considers her deficits functionally disabling (e.g., if the mild weakness or sensory loss significantly impairs her daily activities or occupation), in which case IVT with tenecteplase (0.25 mg/kg) within the 4.5-hour window would remain a reasonable option.",1.0,"CORRECT: The student recommends forgoing IV thrombolysis and initiating dual antiplatelet therapy for 21 days followed by single antiplatelet therapy in a minor noncardioembolic stroke, which matches the reference guidance. The added nuance about considering IVT if deficits are disabling does not contradict the reference and is consistent with guidelines."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Based on the 2026 AHA/ASA guideline, this patient with suspected large vessel occlusion (NIHSS 14) should be transported to the local primary stroke center 10 minutes away, because in areas with well-coordinated systems of care, direct transport of suspected LVO patients to distant thrombectomy-capable centers does not improve clinical outcomes compared to local stroke centers (Class III recommendation), as supported by the RACECAT and TRIAGE-STROKE trials which showed no benefit from bypassing the nearest primary stroke center—and notably, the local center can initiate IV thrombolysis rapidly (with median door-to-needle times of 33 minutes in RACECAT) and then arrange efficient secondary transfer if EVT is needed, while bypassing would delay thrombolytic treatment and expose the patient to prolonged prehospital time without demonstrated functional outcome benefit.",1.0,"CORRECT. The student clearly recommends transport to the closer primary stroke center and justifies that bypassing to a distant thrombectomy-capable center has not shown outcome benefit in coordinated systems, matching the reference. Extra details do not contradict the core guidance."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step is to administer intravenous thrombolysis (tenecteplase 0.25 mg/kg or alteplase 0.9 mg/kg) immediately given she is within 4.5 hours of symptom onset and eligible for IVT, followed by endovascular thrombectomy (EVT) of the basilar artery occlusion, because the 2026 guidelines recommend EVT within 24 hours for patients with basilar artery occlusion who have a baseline mRS of 0–1, NIHSS ≥10, and PC-ASPECTS ≥6 (Class I recommendation, indicating mild ischemic damage on imaging), and this patient meets those criteria with an NIHSS of 28, limited infarct core with salvageable tissue (consistent with PC-ASPECTS ≥6), and the guidelines also recommend initiating IVT as quickly as possible within 4.5 hours without delaying for additional imaging when eligibility is established, with EVT performed expeditiously thereafter as the bridging approach for large vessel occlusion.",1.0,"CORRECT: The student identifies endovascular thrombectomy as indicated for basilar artery occlusion with severe deficits and limited core, citing appropriate selection criteria. Their mention of IV thrombolysis as bridging therapy does not contradict the key recommendation and includes the essential step of EVT."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Based on the 2026 AHA/ASA guidelines, the most appropriate management decision is to **not** administer any adjunctive antithrombotic agent concurrently with or shortly after IV thrombolysis, because the MOST trial demonstrated that adjunctive IV eptifibatide given within 75 minutes after thrombolysis in patients treated within 3 hours (with NIHSS ≥6) did not reduce post-stroke disability and was associated with increased 90-day mortality (eptifibatide 12% vs. placebo 8%), and furthermore, IV aspirin should not be administered concurrently or within 90 minutes after the start of IVT given the risk of hemorrhage, with current data not supporting very early use of IV aspirin in conjunction with alteplase and guidelines explicitly recommending against adjunctive IV eptifibatide to reduce disability at 3 months.",1.0,"CORRECT: The student clearly states that adjunctive antithrombotic agents should not be given with IV thrombolysis and cites eptifibatide as not improving outcomes, aligning with the reference. Additional comments about avoiding early aspirin are consistent and do not contradict the guideline-based recommendation."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current guidelines, this patient's persistent hyperglycemia (180–220 mg/dL) should be treated to achieve blood glucose levels in the range of 140 to 180 mg/dL with close monitoring to prevent hypoglycemia (COR 2a, LOE C-LD), but intensive IV insulin targeting 80–130 mg/dL is not recommended as it has not been shown to improve 3-month functional outcomes and increases hypoglycemia risk (as demonstrated by the SHINE trial); meanwhile, his blood pressure of 155–165 mm Hg systolic does not require intensive reduction to below 140 mm Hg, since in patients with mild to moderate severity AIS treated with IVT, intensive SBP reduction (target <140 mm Hg compared with <180 mm Hg) is not recommended as it does not improve functional outcomes, and for patients without comorbid conditions requiring urgent antihypertensive treatment whose BP is below 220/120 mm Hg and who did not receive EVT, initiating or reinitiating antihypertensive treatment within the first 48 to 72 hours has not been shown effective to prevent death or dependency.",1.0,"CORRECT: The student correctly advises against intensive glucose control to 80–130 mg/dL and supports a moderate target (around 140–180 mg/dL) with hypoglycemia avoidance. For BP, they correctly state no intensive lowering below 140 mm Hg after reperfusion and imply maintaining below 180 mm Hg, consistent with the 140–180 mm Hg target."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current guidelines, this 12-year-old with confirmed AIS presenting within 4.5 hours of symptom onset with disabling deficits should be considered for IVT with alteplase, as it may be considered safe in pediatric patients aged 28 days to 18 years (though efficacy is uncertain, COR 2b), and given the CT angiography-confirmed left M1 occlusion with NIHSS of 11, EVT should also be strongly considered since some observational studies suggest children may benefit from EVT if selected carefully and performed by experienced neurointerventionalists, with the understanding that the adult criteria (anterior circulation proximal LVO, NIHSS ≥6) are met and treatment should be initiated as quickly as possible to maximize the chance of a favorable functional outcome.",1.0,CORRECT. The student includes the key guideline point that pediatric large-vessel occlusions may be considered for endovascular therapy in experienced centers. Their mention of IV alteplase as a IIb consideration in selected pediatric cases does not contradict the reference and aligns with current guidance.
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit (MSU) is preferred over conventional EMS because the 2026 AHA/ASA guideline gives a Class of Recommendation 1 (COR 1) for MSU use in thrombolytic-eligible patients, supported by randomized trials such as B_PROUD and BEST-MSU demonstrating that MSUs improve functional outcomes at 90 days, reduce onset-to-treatment times, increase the proportion of patients receiving intravenous thrombolysis within 60 minutes, and show no additional safety concerns compared to conventional EMS care.",1.0,"CORRECT: The student identifies the mobile stroke unit as the preferred option and provides appropriate reasoning that aligns with the reference, emphasizing faster treatment and improved outcomes for thrombolysis-eligible patients."
