Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase is increasingly considered a more effective thrombolytic treatment than alteplase due to its non-inferiority or potential superiority in functional outcomes, higher rates of reperfusion, and simpler single-bolus administration.",0.5,"PARTIALLY CORRECT: The student notes tenecteplase’s non-inferiority and practical advantages, aligning with guidelines. However, they overstate by calling it more effective/potentially superior, whereas guidelines support non-inferiority with recommendation to improve functional outcomes, not definitive superiority over alteplase."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?",The most appropriate next step in management is to administer intravenous alteplase (tPA) because the patient presents within the therapeutic window for acute ischemic stroke and has no contraindications on noncontrast head CT.,1.0,"CORRECT: The student recommends immediate IV alteplase within the therapeutic window after a negative head CT, aligning with guidelines to initiate thrombolysis promptly for disabling symptoms. Although they don’t explicitly mention avoiding additional imaging delays, their management choice matches the reference."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis, as the DWI-FLAIR mismatch in a wake-up stroke patient suggests a stroke onset within the therapeutic window for thrombolytic therapy despite the extended last known well time.",1.0,"CORRECT: The student recommends IV thrombolysis based on a DWI–FLAIR mismatch in a wake-up stroke, which matches guideline-supported extended-window thrombolysis using advanced imaging selection. This aligns with treating selected unknown-onset strokes when imaging suggests recent onset."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?",This patient should be treated with IV tenecteplase because she presents within the 4.5-hour therapeutic window for acute ischemic stroke and has disabling neurological deficits (NIHSS 3 with facial droop and hand sensory loss) without evidence of intracranial hemorrhage on CT.,0.0,"WRONG. For minor noncardioembolic stroke with NIHSS ≤5, guidelines favor dual antiplatelet therapy (clopidogrel plus aspirin) for 21 days rather than IV thrombolysis. The student incorrectly recommends IV tenecteplase."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Prehospital transport should be directed to the comprehensive thrombectomy-capable stroke center, despite the longer transport time, because the patient's high NIHSS score of 14 strongly suggests a large vessel",0.0,"WRONG. The student recommends bypassing the closer primary stroke center for a distant thrombectomy-capable center, which contradicts the guideline-based reference answer. Evidence indicates no improvement in outcomes with direct transport to a distant thrombectomy center when systems are coordinated; the closer stroke center is appropriate."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous thrombolysis while simultaneously preparing for mechanical thrombectomy, given the acute basilar artery occlusion, severe neurological deficit, and favorable imaging within the therapeutic",1.0,CORRECT. The student identifies mechanical thrombectomy as the key next step for basilar artery occlusion and notes favorable imaging; adding IV thrombolysis as bridging therapy within 4.5 hours is guideline-consistent and not contradictory.
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?",The most appropriate management decision is to withhold any adjuvant antithrombotic agents for at least 24 hours following IV thrombolysis due to the significantly increased risk of intracranial hemorrhage.,1.0,"CORRECT. The student appropriately recommends not adding adjuvant antithrombotic agents with IV thrombolysis. While the reference emphasizes lack of outcome benefit, the student's note to withhold for 24 hours due to bleeding risk is consistent with guidelines and does not contradict the reference."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Blood glucose should be managed to a target range of 140-180 mg/dL to prevent hyperglycemia, while blood pressure should be maintained below 180/105 mmHg given the patient received reperfusion therapy.",0.5,"PARTIALLY CORRECT: The glucose target of 140–180 mg/dL aligns with avoiding intensive control. However, the blood pressure plan is incomplete—guidelines recommend a systolic target range of 140–180 mm Hg and advise against intensive lowering below 140 mm Hg; stating only “<180/105” omits the lower limit and target range."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","This patient should be managed with emergent mechanical thrombectomy for the left middle cerebral artery M1 segment occlusion, as it is a large vessel occlusion within the therapeutic time window and may be considered in pediatric",1.0,"CORRECT: The student identifies mechanical thrombectomy for a pediatric large vessel occlusion within the window, which aligns with guidelines that it may be considered. While they don’t specify experienced centers, the key management approach matches the reference."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit is preferred because it allows for earlier diagnosis and initiation of time-sensitive treatments like thrombolysis directly at the scene, significantly reducing time to treatment and improving patient outcomes.",1.0,"CORRECT: The student correctly identifies the mobile stroke unit as preferred and explains that it enables earlier diagnosis and on-scene thrombolysis, reducing time to treatment and improving outcomes, consistent with guidelines."
