Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes  and hyperlipidemia is brought to the emergency department after left sided weakness and expressive aphasia that begins 2 hours prior to arrival. Her stroke scale is 5. Non-contrast head ct shows no intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Current evidence from multiple randomized controlled trials, including the AcT trial and meta-analyses, suggests that intravenous tenecteplase (typically at a dose of 0.25 mg/kg) is at least as effective as alteplase for acute ischemic stroke and offers practical advantages such as single-bolus administration rather than a one-hour infusion, and while both agents are considered acceptable options, tenecteplase has been increasingly adopted and is now recommended as an alternative to alteplase in updated guidelines (such as the 2024 AHA/ASA guidelines), with some data suggesting potential superiority in patients with large vessel occlusions, though for this patient with an NIHSS of 5 and no large vessel occlusion specified, both are reasonable choices with tenecteplase being favored for its ease of administration and comparable efficacy.",1.0,"CORRECT: The student states that tenecteplase is at least as effective (noninferior) to alteplase and that current guidelines endorse either agent within the window, noting practical advantages of tenecteplase. This matches the reference, which endorses use of either agent based on noninferiority and potential advantages of tenecteplase."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset of left facial droop and slurred speech. His NIH Stroke Scale score is 4, driven primarily by aphasia, which is felt to be a disabling deficit. Noncontrast head ct shows no intracranial hemorrhage. What is the most appropriate next step?","Intravenous alteplase (IV thrombolysis) should be administered promptly, as the patient is within the 4.5-hour treatment window, has no evidence of intracranial hemorrhage on noncontrast CT, and has a disabling deficit (aphasia) that warrants treatment regardless of the relatively low NIHSS score, since current guidelines emphasize that potentially disabling symptoms should be treated with IV thrombolysis even when the overall NIHSS is low.",1.0,"CORRECT: The student recommends prompt IV thrombolysis within the 4.5-hour window for a disabling deficit despite low NIHSS and absence of hemorrhage on noncontrast CT, aligning with guidelines. They do not require advanced imaging selection, consistent with the reference answer."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided weakness and neglect upon awakening. His last known well was approximately 10 hours earlier and his NIH stroke scale score is 4. Noncontrast head CT shows no intracranial hemorrhage. MRI of the brain shows restricted diffusions through the right middle cerebral artery on diffusion weighted imaging. However, there is no corresponding signal change on fluid-attenuated inversion recovery. What is the most appropriate next step?","The most appropriate next step is to administer intravenous alteplase (IV thrombolysis), because the DWI-FLAIR mismatch — where there is restricted diffusion on DWI but no corresponding FLAIR signal change — suggests that the ischemic injury is likely less than 4.5 hours old despite the last known well being 10 hours ago, and according to the WAKE-UP trial, patients with wake-up stroke who demonstrate this DWI-FLAIR mismatch pattern are candidates for IV thrombolysis with alteplase as it was shown to result in significantly better functional outcomes compared to placebo.",1.0,"CORRECT: The student identifies DWI–FLAIR mismatch in a wake-up/unknown-onset stroke as an imaging criterion supporting IV alteplase despite a long last-known-well time, consistent with extended-window thrombolysis per guidelines and the WAKE-UP trial."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. Sensory testing reveals isolated decreased pinprick sensation over her face and hand. Her NIH Stroke Scale was a 1. Noncontrast head CT shows no intracranial hemorrhage. WHat is the recommended course of treatment for this patient?","Given that this patient presents within the treatment window with symptoms consistent with an acute ischemic stroke, the decision regarding intravenous alteplase (IV tPA) requires careful consideration; however, because her symptoms are classified as mild and non-disabling (NIHSS of 1 with isolated sensory deficit of the face and hand, no weakness, no speech difficulty, and no functional impairment), current AHA/ASA guidelines generally recommend against IV thrombolysis for mild, non-disabling strokes, and the recommended course of treatment is medical management with aspirin (or dual antiplatelet therapy with aspirin and clopidogrel if due to minor stroke), risk factor optimization including blood pressure management, urgent vascular imaging (CT angiography) to evaluate for large vessel occlusion or significant stenosis, and admission for monitoring and stroke workup including cardiac evaluation, as the potential bleeding risks of thrombolytic therapy outweigh the expected benefits in this clinical scenario.",0.5,"PARTIALLY CORRECT: The student correctly recommends against IV thrombolysis for a mild, non-disabling stroke and mentions DAPT. However, they hedge with aspirin monotherapy instead of clearly recommending dual antiplatelet therapy as the preferred treatment per guidelines."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a National Institutes of Health Stroke Scale (NIHSS) score of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","This patient with a high NIHSS score of 14, suggesting a likely large vessel occlusion (LVO), who is within the early time window and can reach a comprehensive thrombectomy-capable stroke center within approximately 75 minutes total from symptom onset (20 minutes since onset plus 55 minutes transport), should be transported directly to the comprehensive stroke center (mothership approach) because current guidelines from the AHA/ASA recommend direct transport to a thrombectomy-capable center when the additional transport time is not excessive (generally considered reasonable if the comprehensive center can be reached within a total elapsed time that still allows for timely IV thrombolysis and endovascular therapy), and bypassing the closer primary stroke center avoids the delays inherent in interhospital transfer (drip-and-ship), given that his high NIHSS score raises strong suspicion for an LVO amenable to mechanical thrombectomy — though notably, if the additional transport time were to significantly delay IV tPA administration beyond the benefit window or if clinical deterioration occurred, diversion to the nearest primary stroke center would be appropriate.",0.0,"WRONG: The reference answer states that preoperative tirofiban before EVT is not beneficial (COR 3), but the student's response discusses transport strategy and does not address tirofiban, missing the key factual content."
"A 72 year old woman presents to the ED 4 hours after sudden onset of left sided weakness, aphasia, and rightward gaze deviation. On examination she has global aphasia and his NIH stroke Scale score is 19. Noncontrast head CT shows early ischemic changes in the right MCA territory. CT angiography shows an occlusion of the proximal right MCA  M1 segment. CT perfusion shows a large ischemic core with limited hypoperfused tissue. Given the large ischemic core, can endovascular thrombectomy be performed?","Yes, endovascular thrombectomy can still be performed because landmark trials such as HERMES meta-analysis and more recently the SELECT2, ANGEL-ASPECT, and RESCUE-Japan LIMIT trials have demonstrated benefit of mechanical thrombectomy even in patients with large ischemic cores (ASPECTS as low as 3–5 or core volumes up to 100 mL or more), provided there is a large vessel occlusion in the anterior circulation and the patient presents within an appropriate time window, so despite the large core this patient with a proximal M1 MCA occlusion presenting at 4 hours should be considered a candidate for thrombectomy, though the treating team must weigh the increased risk of hemorrhagic transformation and the potentially more modest functional benefit against the natural history of such a devastating stroke.",1.0,"CORRECT: The student correctly states that EVT can be performed despite a large ischemic core, citing recent trials supporting benefit in selected large-core LVO strokes. This matches the reference that evidence supports expanding EVT to some patients with larger ischemic cores."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIH Stroke Scale score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. The patient is treated with intravenous thrombolysis and the stroke team debates whether adding an adjuvant antithrombotic agent might improve clinical outcomes. What is the most appropriate management decision?","The most appropriate management decision is to avoid adding any adjuvant antithrombotic agent (such as antiplatelet or anticoagulant therapy) within the first 24 hours after intravenous thrombolysis, because current guidelines recommend delaying antithrombotic therapy for at least 24 hours following IV alteplase or tenecteplase administration due to the significantly increased risk of symptomatic intracranial hemorrhage, and clinical trials (such as those evaluating early antiplatelet use or glycoprotein IIb/IIIa inhibitors as adjuncts to thrombolysis) have not demonstrated a net clinical benefit from concurrent antithrombotic therapy, so the standard of care is to obtain a follow-up CT at approximately 24 hours to rule for hemorrhagic transformation before initiating aspirin or other antithrombotic agents.",1.0,"CORRECT: The student advises against concurrent adjuvant antithrombotic therapy with IV thrombolysis, consistent with evidence showing no benefit. They also appropriately note waiting 24 hours and obtaining follow-up imaging before starting antithrombotics."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his stolic blood pressure ranges from 155 to 165 mm Hg.  Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current AHA/ASA guidelines for acute ischemic stroke management, blood glucose levels should be treated with insulin therapy to maintain concentrations in the range of 140–180 mg/dL (while strictly avoiding hypoglycemia below 60 mg/dL), as persistent hyperglycemia above 180 mg/dL is associated with worse outcomes, and blood pressure should be permitted to remain at its current level (below 180/105 mmHg) without aggressive lowering for the first 24 hours after reperfusion therapy, since his systolic readings of 155–165 mmHg fall within the acceptable post-thrombolysis target of less than 180/105 mmHg, thereby preserving adequate cerebral perfusion to the ischemic penumbra.",1.0,"CORRECT: The student correctly avoids intensive glucose control (80–130 mg/dL) and targets 140–180 mg/dL while avoiding hypoglycemia. They also accurately state that post-reperfusion blood pressure can be maintained below 180/105 mmHg, consistent with guidelines."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIH stroke scale score is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current guidelines, this patient should receive intravenous alteplase (IV tPA) as he is within the 4.5-hour treatment window, and given the large vessel occlusion of the left MCA M1 segment with a significant neurological deficit (NIHSS 11), he should also be urgently evaluated for mechanical thrombectomy, as the 2019 AHA/ASA guidelines and subsequent pediatric stroke management recommendations support endovascular thrombectomy for large vessel occlusions in selected pediatric patients when performed at experienced centers, even though much of the evidence is extrapolated from adult trials.",0.5,"PARTIALLY CORRECT: The student correctly identifies that mechanical thrombectomy is supported for select pediatric AIS with large vessel occlusion at experienced centers. However, recommending IV alteplase in a 12-year-old is not supported by the referenced guidance and adds potentially inaccurate information not included in the reference answer."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency services because it enables prehospital CT imaging, earlier diagnosis, and faster initiation of intravenous thrombolysis, thereby reducing door-to-needle times and improving clinical outcomes in acute ischemic stroke.",1.0,"CORRECT: The student correctly identifies the mobile stroke unit as the preferred option when available and accurately cites its advantages in earlier diagnosis and treatment, aligning with guideline-supported benefits over conventional EMS."
