Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg, max 25 mg) is preferred over alteplase because, in adults within 4.5 hours of onset with disabling deficits and no hemorrhage, randomized trials and guidelines indicate improved functional outcomes with similar safety and simpler single-bolus administration.",1.0,"CORRECT. The student correctly identifies tenecteplase (0.25 mg/kg, max 25 mg) within 4.5 hours as recommended with improved functional outcomes and similar safety, aligning with the reference stating tenecteplase is not inferior and is recommended to improve outcomes."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Initiate IV thrombolysis now (e.g., alteplase 0.9 mg/kg) because his persistent severe aphasia is a clearly disabling deficit despite a low NIHSS, he is within 4.5 hours and CT excludes hemorrhage, and therapy should not be delayed for additional testing.",1.0,"CORRECT: The student recommends immediate IV thrombolysis within the 4.5-hour window for a clearly disabling aphasia and specifies not delaying for additional imaging, matching the reference guidance."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis (e.g., alteplase) now because the DWI–FLAIR mismatch in this wake-up stroke indicates eligibility for extended-window IVT and his hemispatial neglect is a disabling deficit despite an NIHSS of 4.",1.0,"CORRECT: The student recommends IV thrombolysis based on the DWI–FLAIR mismatch in a wake-up stroke, which aligns with extended-window treatment criteria for unknown-onset strokes. They also appropriately note that hemispatial neglect is a disabling deficit despite a low NIHSS."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Treat with antiplatelet therapy—specifically early dual antiplatelet therapy (aspirin plus clopidogrel for 21 days then single antiplatelet)—rather than IV tenecteplase, because this is a minor (NIHSS 3) noncardioembolic stroke without clearly disabling deficits at 2 hours, for which guidelines recommend DAPT and reserve IV thrombolysis (including tenecteplase) for disabling symptoms due to bleeding risk without proven benefit in nondisabling minor stroke.",1.0,"CORRECT: The student recommends antiplatelet therapy with 21 days of dual antiplatelet therapy followed by single therapy and appropriately favors DAPT over IV tenecteplase for a minor, likely noncardioembolic stroke without disabling deficits, consistent with guidelines."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center with EMS prenotification for rapid imaging and IV thrombolysis, then expedite transfer for thrombectomy if LVO is confirmed, because bypassing a nearby center for a 55-minute trip to a thrombectomy-capable center has not improved outcomes and reduces thrombolysis use in trials and current AHA/ASA guidance.",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center with rapid IV thrombolysis and transfer if LVO is confirmed, aligning with guidelines that bypassing to a more distant thrombectomy-capable center does not improve outcomes. This matches the reference answer’s recommendation."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Initiate intravenous thrombolysis now (tenecteplase 0.25 mg/kg or alteplase 0.9 mg/kg) and proceed emergently to basilar artery endovascular thrombectomy, because she is within 4.5 hours with a severe basilar LVO and small core/large penumbra, for which bridging IVT plus EVT improves functional outcomes and reduces mortality.",1.0,"CORRECT: The student recommends emergent endovascular thrombectomy for basilar artery occlusion with a small core, which matches the guideline-supported next step to improve outcomes. Including IV thrombolysis within 4.5 hours is reasonable and does not contradict the reference recommendation."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add adjunctive antithrombotic therapy during or within 24 hours of IV thrombolysis and instead delay antiplatelets until a 24-hour CT excludes hemorrhage, because adjuncts such as IV aspirin, eptifibatide, or argatroban have not improved outcomes and may increase hemorrhage or mortality per trial data and guideline recommendations.",1.0,"CORRECT: The student states that adjunctive antithrombotic therapy with IV thrombolysis is not recommended and should be delayed until after a 24-hour CT excludes hemorrhage, aligning with guidelines that agents like eptifibatide or argatroban do not improve outcomes and may increase bleeding risk."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Treat his persistent hyperglycemia with insulin to a target of 140–180 mg/dL with close monitoring and manage his blood pressure by avoiding hypotension while maintaining SBP <180 mm Hg (no intensive <140 mm Hg after IVT/EVT), because tight glucose control (80–130 mg/dL) offers no functional benefit and increases hypoglycemia risk, and intensive post-reperfusion BP lowering has not improved outcomes and may be harmful after successful thrombectomy.",1.0,"CORRECT. The student avoids intensive glucose control (80–130 mg/dL) and targets 140–180 mg/dL, and for blood pressure recommends maintaining SBP <180 mm Hg while avoiding intensive lowering below 140 mm Hg after reperfusion—consistent with the 140–180 mm Hg target in guidelines."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because a 12-year-old with disabling deficits (NIHSS 11) and a confirmed anterior-circulation M1 LVO within 4.5 hours meets criteria analogous to adults and pediatric guidance favors intervention in older children, he should receive urgent endovascular thrombectomy by an experienced pediatric-capable team and, if no contraindications, consider IV alteplase without delaying EVT, with standard supportive stroke care.",1.0,"CORRECT: The student identifies that a pediatric large-vessel occlusion should be managed with urgent endovascular thrombectomy at an experienced center, aligning with guidelines emphasizing specialist intervention. The added consideration of IV alteplase does not contradict the reference and the core recommendation is present."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, as guidelines give a Class I recommendation favoring MSUs over conventional EMS because they achieve faster thrombolysis, higher treatment rates, and better 90-day functional outcomes without added safety concerns.",1.0,"CORRECT. The student correctly prefers deployment of a mobile stroke unit and justifies it with faster thrombolysis and improved outcomes, consistent with the reference. The additional details do not contradict the key point."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","No, intravenous glibenclamide should not be initiated because randomized data (e.g., CHARM) in large hemispheric infarction at high risk for edema showed no improvement in 90-day functional outcomes or mortality, so care should focus on guideline-directed medical management of edema and early decompressive hemicraniectomy if deterioration occurs.",1.0,"CORRECT: The student clearly states that intravenous glibenclamide should not be initiated because it does not improve outcomes in large hemispheric infarction, matching the guideline recommendation. The additional mention of standard edema management and potential decompressive hemicraniectomy is consistent and does not contradict the reference."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?","According to current stroke guidelines, this patient should have oral intake restricted and receive early enteral nutrition via a nasogastric tube (with percutaneous gastrostomy considered if safe swallowing is unlikely to recover within >2–3 weeks), undergo early (within 48 hours) nutritional screening, receive an oral-hygiene protocol and ongoing speech-language pathologist–directed dysphagia management, and be considered for pharyngeal electrical stimulation to reduce dysphagia severity and aspiration, because these measures lower pneumonia risk and ensure adequate nutrition during recovery.",1.0,"CORRECT. The student explicitly recommends considering pharyngeal electrical stimulation to reduce dysphagia severity and aspiration risk, which matches the key guideline point. Additional management details do not contradict the reference and are consistent with standard stroke dysphagia care."
