Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg, max 25 mg) is recommended over alteplase for this adult within 2 hours of AIS onset because guidelines favor it to improve functional outcomes with similar safety and simpler single-bolus administration.",1.0,"CORRECT: The student identifies tenecteplase 0.25 mg/kg (max 25 mg) as recommended with similar safety and improved functional outcomes, aligning with guidelines that consider it at least non-inferior and recommended. Mentioning 2 hours is within the 4.5-hour window and does not contradict the reference."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer IV alteplase now because his severe aphasia constitutes a clearly disabling deficit despite a low NIHSS, he presents within 3 hours, and CT excludes hemorrhage, so early thrombolysis is recommended to improve outcomes.",1.0,"CORRECT: The student recommends immediate IV alteplase for a disabling aphasia within the treatment window after CT excludes hemorrhage, aligning with guidelines to deliver thrombolysis promptly. This matches the reference approach."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV thrombolysis (e.g., alteplase 0.9 mg/kg) now after standard contraindication screening, because the DWI–FLAIR mismatch in this wake-up stroke identifies a recent-onset infarct and guidelines support extended-window IVT for disabling deficits (neglect/arm weakness) despite last-known-well ~10 hours.",1.0,CORRECT: The student identifies DWI–FLAIR mismatch in a wake-up stroke as meeting advanced imaging criteria for extended-window IV thrombolysis and recommends alteplase after contraindication screening. This aligns with guidelines supporting IVT in unknown-onset strokes with disabling deficits selected by DWI–FLAIR mismatch.
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy—specifically early dual antiplatelet therapy with aspirin plus clopidogrel for 21 days followed by single antiplatelet therapy—should be used rather than IV tenecteplase because her deficits are minor (NIHSS 3) and likely nondisabling, for which guidelines recommend DAPT to reduce 90-day recurrence and do not support IVT due to bleeding risk without clear functional benefit.",1.0,"CORRECT: The student recommends dual antiplatelet therapy (aspirin plus clopidogrel for 21 days followed by single antiplatelet), aligning with guidelines for minor nondisabling noncardioembolic stroke, and correctly advises against IV tenecteplase."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center for immediate imaging and IV thrombolysis with prenotification and expedited transfer if LVO is confirmed, rather than bypassing to the farther thrombectomy-capable center, because long bypass delays (>45 minutes) have not improved outcomes and reduce thrombolysis use per randomized trials and guideline recommendations.",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center with rapid imaging/thrombolysis and transfer if needed, aligning with guidelines that bypass to a distant thrombectomy center does not improve outcomes and may delay thrombolysis."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Initiate IV thrombolysis now (tenecteplase 0.25 mg/kg or alteplase 0.9 mg/kg) and proceed emergently to endovascular basilar artery thrombectomy, because she is within 4.5 hours with severe basilar occlusion and limited core/penumbra mismatch, for which bridging IVT plus EVT improves functional outcomes and reduces mortality.",1.0,"CORRECT. The student recommends emergent endovascular thrombectomy, which is the key management step per guidelines for basilar artery occlusion with salvageable tissue. Including IV thrombolysis within 4.5 hours is consistent with standard practice and does not contradict the reference."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add an adjunctive antithrombotic during or shortly after IV thrombolysis and instead delay antiplatelet therapy until 24 hours after treatment and after repeat imaging excludes hemorrhage, because early adjuncts (e.g., IV aspirin, eptifibatide, or argatroban) have not improved outcomes and increase hemorrhagic risk and mortality in trials (e.g., MOST).",1.0,"CORRECT. The student clearly states not to add adjunctive antithrombotics with IV thrombolysis and to delay antiplatelets until 24 hours after repeat imaging, aligning with guidelines. Their rationale that such adjuncts have not improved outcomes and may increase hemorrhagic risk is consistent with evidence."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Per current AIS guidelines, treat his persistent hyperglycemia to a target of 140–180 mg/dL with close monitoring (avoiding intensive 80–130 mg/dL control, which provides no outcome benefit and increases hypoglycemia risk) and maintain post-reperfusion blood pressure below 180/105 mm Hg without aggressive lowering to <140 mm Hg, meaning his SBP 155–165 mm Hg is acceptable while glucose 180–220 mg/dL warrants treatment toward 140–180 mg/dL.",1.0,"CORRECT. The student targets glucose 140–180 mg/dL and avoids intensive 80–130 mg/dL control, and for BP accepts 155–165 mm Hg while avoiding aggressive lowering below 140 mm Hg, consistent with a 140–180 mm Hg systolic target. Mentioning <180/105 mm Hg does not contradict the guideline emphasis on 140–180 mm Hg."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because a previously healthy 12-year-old with disabling AIS 90 minutes from onset has a left M1 occlusion without hemorrhage, he should undergo emergent mechanical thrombectomy at an experienced pediatric-capable center with consideration of IV alteplase within 4.5 hours (bridging if given), since rapid reperfusion of proximal LVO improves outcomes while pediatric IVT appears safe though efficacy is uncertain, followed by standard stroke unit care and withholding antiplatelets for 24 hours after IVT.",1.0,"CORRECT: The student recommends emergent mechanical thrombectomy at an experienced pediatric-capable center for a pediatric LVO, aligning with guidelines. The added consideration of IV alteplase does not contradict the key guidance on endovascular intervention and specialist management."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because guidelines and randomized trials show MSUs achieve faster thrombolysis and improved 90-day functional outcomes compared with conventional EMS without added safety risk.",1.0,"CORRECT: The student clearly prefers the mobile stroke unit, matching the guideline recommendation for faster identification and thrombolysis. The added details about improved functional outcomes and no added safety risk are consistent with evidence and do not contradict the reference."
