Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg single bolus) is the more effective choice because it is noninferior to alteplase overall and achieves higher early reperfusion (and at least comparable functional outcomes) in suspected large-vessel occlusion within 4.5 hours, which fits this patient’s moderate, cortical-appearing deficit.",1.0,"CORRECT. The student identifies tenecteplase 0.25 mg/kg as the preferred option, noting its noninferiority to alteplase and advantages in early reperfusion with comparable functional outcomes, which aligns with guidelines recommending tenecteplase to improve functional outcomes within 4.5 hours."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?",Administer IV alteplase (tPA) immediately because he is within 4.5 hours of onset and has a clearly disabling deficit (aphasia) despite a low NIHSS and no hemorrhage on CT.,1.0,"CORRECT: The student recommends immediate IV alteplase within the 4.5-hour window for a clearly disabling aphasia despite low NIHSS and no hemorrhage, which matches guideline-based thrombolysis. This aligns with initiating treatment without delay."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV alteplase now because the DWI–FLAIR mismatch in this wake-up stroke indicates an onset within ~4.5 hours and, with disabling neglect despite NIHSS 4 and no hemorrhage, he meets criteria for thrombolysis.",1.0,"CORRECT. The student recommends IV alteplase based on DWI–FLAIR mismatch in a wake-up stroke, which aligns with extended-window thrombolysis criteria for unknown onset using advanced imaging. They also correctly note that disabling neglect despite low NIHSS supports thrombolysis in the absence of hemorrhage."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy (preferably short-course dual antiplatelet therapy) should be given rather than IV tenecteplase because this presentation is a minor, non-disabling ischemic stroke (NIHSS 3 with only mild facial and limb weakness and intact language/vision/gait), for which thrombolysis has not shown benefit and adds hemorrhage risk.",1.0,"CORRECT: The student appropriately recommends antiplatelet therapy, preferably short-course dual antiplatelet therapy, rather than IV tenecteplase for a minor, non-disabling ischemic stroke (NIHSS 3). While they did not specify the exact regimen (aspirin + clopidogrel for 21 days then monotherapy), their recommendation aligns with the guideline intent."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center for immediate imaging and IV thrombolysis with rapid transfer for thrombectomy if a large-vessel occlusion is confirmed, because bypassing the closer hospital would add ~45 minutes—exceeding typical 15–30 minute bypass thresholds—and early reperfusion is time-critical.",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center with rapid transfer if LVO is confirmed, aligning with evidence that direct transport to a distant thrombectomy-capable center does not improve outcomes when systems are coordinated."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?",Proceed with emergent endovascular mechanical thrombectomy of the basilar artery (with immediate IV thrombolysis if eligible) because she is 4 hours from onset with severe deficits and imaging shows a small infarct core with substantial salvageable posterior circulation tissue.,1.0,"CORRECT: The student recommends emergent endovascular thrombectomy for basilar artery occlusion with a small core and salvageable tissue within the appropriate time window, aligning with guidelines. Mentioning IV thrombolysis if eligible is consistent and does not contradict the primary recommendation."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add an adjuvant antithrombotic; withhold all antiplatelet and anticoagulant therapy for 24 hours after IV thrombolysis and start aspirin only after a 24-hour CT/MRI excludes hemorrhage, because immediate adjunctive antithrombotics increase symptomatic intracranial hemorrhage without improving outcomes.",1.0,CORRECT: The student correctly states not to add adjunct antithrombotics with IV thrombolysis and explains the lack of outcome benefit and bleeding risk. The added detail about withholding antiplatelets/anticoagulants for 24 hours and starting aspirin after repeat imaging is consistent with guidelines.
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Initiate insulin to target blood glucose 140–180 mg/dL while avoiding hypoglycemia because levels >180 mg/dL are associated with worse outcomes, and maintain blood pressure <180/105 mm Hg for at least 24 hours after reperfusion therapy (his current 155–165 mm Hg meets this goal, so monitor without acute lowering).",1.0,"CORRECT. The student recommends glucose control to 140–180 mg/dL (avoiding intensive 80–130 mg/dL) and maintaining BP below 180/105 mm Hg after reperfusion, with no acute lowering needed at 155–165 mm Hg—consistent with targeting 140–180 mm Hg and avoiding overly aggressive reduction."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Arrange emergent endovascular mechanical thrombectomy at a pediatric-experienced comprehensive stroke center and do not give IV alteplase, because AHA/ASA pediatric guidance supports EVT for selected children with large-vessel occlusion within 6 hours while IV thrombolysis is not recommended outside trials, with initiation of aspirin and standard supportive care if reperfusion cannot be performed.",1.0,"CORRECT: The student recommends endovascular thrombectomy at an experienced pediatric stroke center, which aligns with guidelines for pediatric large-vessel occlusion. Their note against IV alteplase in children and emphasis on supportive care are consistent with current recommendations."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Use the mobile stroke unit, because it can perform on-scene CT to confirm stroke and initiate IV thrombolysis and triage for thrombectomy immediately, thereby reducing time-to-treatment and improving functional outcomes compared with conventional EMS.",1.0,"CORRECT: The student correctly identifies the mobile stroke unit as preferred and explains that it enables on-scene imaging, rapid thrombolysis, and expedited triage, which reduce time-to-treatment and improve outcomes, aligning with guidelines."
