Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase is recommended as the more effective form of thrombolytic treatment for this patient, as it has been shown to improve functional outcomes compared to alteplase in adult patients with acute ischemic stroke presenting within 4.5 hours of symptom onset."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administration of intravenous thrombolysis with alteplase is recommended, given the patient's presentation with aphasia and mild right facial droop, consistent with a diagnosis of acute ischemic stroke, and the absence of contraindications to thrombolysis."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The patient is a candidate for extended window IVT based on the MRI DWI-FLAIR mismatch selection, and therefore, IV thrombolysis should be administered as soon as possible."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?",This patient should be treated with antiplatelet therapy due to her minor stroke presentation (NIHSS score ≤3) and lack of evidence suggesting a large vessel occlusion or high-risk TIA.
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","The patient should be transported directly to the comprehensive thrombectomy-capable stroke center, as the benefits of timely EVT outweigh the potential risks associated with longer transport times, despite the patient's high NIHSS score and potential for intracerebral hemorrhage."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is to proceed with endovascular thrombectomy (EVT) within 24 hours from onset of symptoms, given the patient's presentation with severe symptoms, large vessel occlusion, and evidence of salvageable ischemic penumbra on CT perfusion imaging."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to continue IV thrombolysis without adding an adjuvant antithrombotic agent, as current guidelines recommend against early antiplatelet use after IV thrombolysis due to increased hemorrhagic risk."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Given the patient's admission blood glucose levels of 180 to 220 mg/dL and systolic blood pressure of 155 to 165 mm Hg, management should focus on achieving blood glucose levels between 140 to 180 mg/dL with close monitoring, as this range is considered reasonable for patients with acute ischemic stroke and hyperglycemia, while also avoiding the potential risks associated with more intensive glucose control."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","This patient is a pediatric patient with acute ischemic stroke (AIS) presenting within 4.5 hours of symptom onset, with disabling deficits, and eligible for intravenous thrombolysis (IVT), and therefore, IVT with alteplase may be considered as it is safe, but efficacy is uncertain according to current guidelines."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit (MSU) is preferred for this patient due to its specialized equipment and trained personnel, which enable faster and more accurate diagnosis and treatment of acute ischemic stroke, particularly large vessel occlusions."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","No, intravenous glibenclamide should not be initiated in this patient as the CHARISM trial found no improvement in functional outcomes at 90 days in patients with cerebral edema from large ischemic or other causes treated with IV glibenclamide."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?","In patients with stroke with dysphagia, treatment with pharyngeal electrical stimulation (PES) can be beneficial to reduce dysphagia severity and decrease the risk of aspiration."
"A 69-year-old man with a history of hypertension and atrial fibrillation presents to the emergency department 2 hours after sudden onset of right-sided weakness and aphasia. On examination, he has dense right hemiparesis and expressive aphasia, with a NIHSS of 17. Noncontrast head CT shows no intracranial hemorrhage, and CT angiography reveals an occlusion of the left proximal middle cerebral artery, M1 segment. He is an appropriate candidate for endovascular thrombectomy (EVT). How should the use of tirofiban be approached in this patient?",Preoperative administration of tirofiban before EVT is not useful to improve 90-day functional outcomes in patients with acute ischemic stroke in the setting of large vessel occlusion.
A 7-year-old girl with no significant past medical history is brought to the ED by her parents after sudden onset of right arm weakness and slurred speech that began 90 minutes earlier. What stroke screening tools should be used?,"The pediatric modification of the National Institutes of Health Stroke Scale (PedNIHSS) and the Pediatric Rapid Arterial Occlusion Evaluation (PedRACE) are recommended stroke screening tools for pediatric patients, as they show good interrater reliability and correlation with each other."
"A 67-year-old woman with a history of hypertension and hyperlipidemia presented to the emergency department 18 hours after sudden onset of left arm weakness and mild slurred speech that resolved within 30 minutes. On arrival, her neurologic examination shows only subtle left hand clumsiness. Her NIHSS score is 3. Brain MRI shows a small acute infarct in the right frontal cortex. CT angiography shows 70% stenosis of the right internal carotid artery. Cardiac monitoring and echocardiography show no evidence of atrial fibrillation or other cardioembolic source. She did not receive intravenous thrombolysis. How should this patient’s antiplatelet therapy be managed?",Dual antiplatelet therapy (DAPT) with ticagrelor and aspirin for 21 days followed by single antiplatelet therapy (SAPT) is reasonable to reduce the 90-day risk of recurrent stroke in this patient with minor noncardioembolic AIS and high-risk TIA.
