Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Current evidence from recent trials, including the AcT trial and meta-analyses, suggests that intravenous tenecteplase (typically at a dose of 0.25 mg/kg) is at least non-inferior to alteplase for acute ischemic stroke and may offer practical advantages such as single-bolus administration, but definitive superiority of tenecteplase over alteplase has not been conclusively established, so while tenecteplase is increasingly favored due to its ease of administration and comparable efficacy, both agents remain acceptable options for this patient presenting within the treatment window with a moderate-severity stroke.",0.5,"PARTIALLY CORRECT: The student correctly notes that tenecteplase 0.25 mg/kg is non-inferior to alteplase and that both are acceptable options. However, they omit that guidelines recommend tenecteplase to improve functional outcomes and hedge by stating no definitive superiority, making the answer incomplete."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous alteplase (IV thrombolysis), because this patient presents within the 4.5-hour treatment window with acute ischemic stroke symptoms — specifically a Broca's aphasia (nonfluent aphasia with preserved comprehension) and right facial droop localizing to the left middle cerebral artery territory — with no evidence of hemorrhage on CT, and although his NIHSS score of 4 might seem mild, the presence of significant language impairment constitutes a disabling deficit that warrants treatment, as current AHA/ASA guidelines recommend IV alteplase for patients with measurable neurological deficits that are clearly disabling regardless of the absolute NIHSS score.",1.0,"CORRECT: The student recommends IV alteplase within the 4.5-hour window for a disabling aphasia despite a low NIHSS and no hemorrhage on CT, which aligns with guidelines. Although they did not explicitly mention not delaying for multimodal imaging, their management choice is accurate and complete."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The presence of a DWI-FLAIR mismatch (positive DWI with no corresponding FLAIR signal change) suggests that the ischemic injury is likely less than 4.5 hours old despite the prolonged last known well time, and based on the WAKE-UP trial, the most appropriate next step is to administer intravenous alteplase (IV thrombolysis), as this mismatch pattern identifies patients with wake-up stroke who can benefit from thrombolytic therapy within a physiologically determined time window even when the exact onset time is unknown.",1.0,"CORRECT: The student recognizes the DWI-FLAIR mismatch as an advanced imaging criterion supporting IV alteplase in wake-up/unknown-onset stroke, consistent with extended-window thrombolysis recommendations."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient, presenting within 2 hours of symptom onset with an NIHSS of 3 and no intracranial hemorrhage on CT, has what would traditionally be classified as a ""minor stroke,"" and while IV alteplase (or tenecteplase) can be considered, current evidence and guidelines — particularly informed by trials such as PRISMS and the minor stroke subgroup analyses — suggest that for patients with non-disabling, low-NIHSS strokes (NIHSS ≤ 5) without clearly disabling deficits, dual antiplatelet therapy (aspirin plus clopidogrel) is a reasonable and often preferred initial treatment, as thrombolysis in this population has not been shown to provide a clear net benefit over antiplatelet therapy and carries a risk of symptomatic intracranial hemorrhage; however, it is important to note that this patient does have objective motor deficits (4+/5 in both the right arm and leg) and sensory loss, which some clinicians might consider potentially disabling, so if the treating team judges these deficits to be disabling — meaning they would impair the patient's ability to perform daily activities or work — IV thrombolysis (alteplase or tenecteplase) within the treatment window would be appropriate, but if the deficits are deemed non-disabling, antiplatelet therapy should be initiated.",0.5,"PARTIALLY CORRECT: The student recognizes that for minor, non-disabling strokes, dual antiplatelet therapy (aspirin plus clopidogrel) is preferred over IV thrombolysis, aligning with guidelines. However, they hedge without clearly recommending antiplatelet therapy for this case and omit the key detail of 21 days of DAPT followed by single antiplatelet therapy."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","This patient, with a high NIHSS of 14 suggesting a possible large vessel occlusion (LVO), and with symptom onset very recent (within 20 minutes), should be transported directly to the closest primary stroke center 10 minutes away so that intravenous alteplase can be administered as quickly as possible within the thrombolytic window, with subsequent rapid transfer (""drip-and-ship"") to the comprehensive thrombectomy-capable center if LVO is confirmed, because current AHA/ASA guidelines recommend that when the additional transport time to a thrombectomy-capable center exceeds approximately 15–20 minutes beyond the nearest IV tPA-capable facility, initial routing to the closer center for thrombolytic therapy followed by secondary transfer is preferred to avoid delaying time-sensitive reperfusion treatment.",1.0,"CORRECT: The student recommends transport to the closer primary stroke center with potential drip-and-ship if LVO is confirmed, which aligns with the reference guidance. Their rationale about avoiding delays to IV thrombolysis and thresholds for additional transport time is consistent with current guidelines."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is intravenous alteplase (IV thrombolysis) administered immediately (as she is within the 4.5-hour window) followed by emergent endovascular mechanical thrombectomy of the basilar artery occlusion, because this patient presents with a large vessel occlusion of the posterior circulation with a severe deficit (NIHSS 28), favorable perfusion imaging showing a small core with a large penumbra of salvageable tissue, and current evidence—including the ATTENTION and BAOCHE trials—supports endovascular thrombectomy for basilar artery occlusion within 24 hours, particularly when there is a mismatch between infarct core and ischemic penumbra, while IV thrombolysis should be initiated without delay as a bridging therapy given she is still within the standard treatment window.",1.0,"CORRECT: The student includes endovascular thrombectomy for basilar artery occlusion, which is the key recommended intervention within 24 hours. Adding IV thrombolysis as bridging therapy within 4.5 hours is consistent with guidelines and does not contradict the reference answer."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to **not administer adjuvant antithrombotic therapy (such as antiplatelet agents or anticoagulants) within the first 24 hours after IV thrombolysis**, because current AHA/ASA guidelines recommend delaying antithrombotic agents for at least 24 hours following IV alteplase (or tenecteplase) administration due to the significantly increased risk of symptomatic intracranial hemorrhage, and clinical trials have not demonstrated a net benefit of early adjuvant antithrombotic therapy in this setting.",1.0,"CORRECT: The student clearly states not to add adjuvant antithrombotic therapy with IV thrombolysis and notes lack of demonstrated benefit, aligning with guidelines. The added detail about delaying antithrombotics for 24 hours is consistent and does not contradict the reference."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current AHA/ASA guidelines for acute ischemic stroke management, this patient's hyperglycemia should be treated with insulin therapy to maintain blood glucose levels in the range of 140–180 mg/dL (since persistent hyperglycemia above 180 mg/dL in the first 24 hours is associated with worse outcomes and should be corrected while avoiding hypoglycemia below 60 mg/dL), and his blood pressure of 155–165 mm Hg systolic should be allowed to remain at its current level without aggressive lowering, as post-reperfusion therapy guidelines recommend maintaining blood pressure below 180/105 mmHg for the first 24 hours after thrombolysis, which this patient already satisfies, and routine lowering of blood pressure in acute ischemic stroke patients who are not otherwise above threshold is not recommended because it may compromise perfusion to the ischemic penumbra.",1.0,"CORRECT: The student recommends avoiding intensive glucose control by targeting 140–180 mg/dL and avoiding hypoglycemia, and for blood pressure allows systolic 155–165 mm Hg without aggressive lowering, consistent with maintaining 140–180 mm Hg after reperfusion. This aligns with the guideline emphasis on avoiding overly tight control for both glucose and BP."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current AHA/ASA guidelines, this 12-year-old presenting within the 4.5-hour window with a large vessel occlusion (left MCA M1) and an NIHSS of 11 should receive intravenous alteplase (0.9 mg/kg, maximum 90 mg, with 10% as bolus and the remainder over 60 minutes) as first-line treatment, and mechanical thrombectomy should be strongly considered given the proximal large vessel occlusion, as evidence from adult trials and pediatric case series/guidelines (including the 2019 AHA/ASA recommendations and the Thrombolysis in Pediatric Stroke [TIPS] study framework) supports that endovascular thrombectomy is reasonable for children with large vessel occlusion strokes who meet eligibility criteria similar to adults, ideally performed at a comprehensive stroke center with pediatric neurovascular expertise, while also initiating a thorough etiologic workup (including evaluation for cardiac sources, arterial dissection, moyamoya, and prothrombotic conditions) concurrently with acute treatment.",0.5,"PARTIALLY CORRECT: The student appropriately recommends considering mechanical thrombectomy at an experienced center for pediatric large vessel occlusion, aligning with guidelines. However, they incorrectly endorse IV alteplase as first-line in a 12-year-old, which is not recommended outside clinical trials in pediatric AIS."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency services because it enables prehospital CT imaging, earlier diagnosis, and faster initiation of intravenous thrombolysis, thereby reducing door-to-needle times and improving clinical outcomes in acute ischemic stroke.",1.0,"CORRECT: The student correctly identifies the mobile stroke unit as preferred and accurately explains the rationale of faster diagnosis and thrombolysis initiation, aligning with guideline-based advantages."
