Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase 0.25 mg/kg (max 25 mg) is preferred over alteplase 0.9 mg/kg because current guidelines recommend tenecteplase within 4.5 hours to improve functional outcomes with similar safety and simpler single-bolus administration.
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer intravenous alteplase now because his persistent severe aphasia is a clearly disabling deficit despite an NIHSS of 4, and at 90 minutes with no hemorrhage on CT he meets criteria for thrombolysis."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis now (e.g., alteplase or tenecteplase) because his wake-up stroke has a disabling deficit with DWI–FLAIR mismatch indicating recent onset and guidelines support IVT in unknown-onset strokes selected by DWI–FLAIR mismatch after hemorrhage is excluded."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy—preferably early dual antiplatelet therapy with aspirin plus clopidogrel for 21 days followed by single antiplatelet—is recommended rather than IV tenecteplase because her deficit is minor (NIHSS 3) and likely non-disabling, for which IV thrombolysis is not advised while DAPT reduces early recurrence with only a slight increase in bleeding risk."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center with EMS prenotification for immediate imaging and IV thrombolysis and arrange rapid “drip-and-ship” transfer for EVT if LVO is confirmed, because bypassing to a distant thrombectomy-capable center (55 vs 10 minutes) has not improved outcomes and risks delaying tPA per guideline and trial data."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Administer IV thrombolysis now (tenecteplase 0.25 mg/kg or alteplase 0.9 mg/kg if no contraindications) and proceed without delay to emergent endovascular thrombectomy of the basilar artery, because she is within 4.5 hours with severe basilar LVO and a small core/penumbral mismatch, for which guideline-supported EVT (and IVT when eligible) improves functional outcomes and reduces mortality."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add adjunctive antithrombotic therapy (e.g., IV aspirin, eptifibatide, or argatroban) and instead withhold antiplatelets for 24 hours and start aspirin only after repeat imaging excludes hemorrhage, because adjunctive agents have not improved outcomes and increase hemorrhagic risk and mortality."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Treat his persistent hyperglycemia to a target of 140–180 mg/dL with insulin while avoiding intensive 80–130 mg/dL control because it offers no outcome benefit and increases hypoglycemia risk, and maintain blood pressure below 180/105 mm Hg without aggressively lowering to <140 mm Hg after reperfusion since intensive reduction shows no benefit after IVT and is harmful after successful EVT, so his current SBP of 155–165 mm Hg warrants monitoring rather than active down-titration."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because this 12-year-old has disabling AIS within 90 minutes and an M1 occlusion without hemorrhage, current guidelines support administering IV alteplase within 4.5 hours (may be considered in ages 28 days–18 years; safety acceptable though efficacy uncertain) and urgently proceeding to endovascular thrombectomy at an experienced pediatric stroke center for proximal LVO, without delaying reperfusion for additional imaging and with standard supportive care."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because AHA/ASA guidelines give a Class I recommendation favoring MSUs over conventional EMS for suspected thrombolysis-eligible stroke due to faster onset-to-treatment times and improved 90-day functional outcomes without added safety risk."
