Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase (0.25 mg/kg IV bolus) is the more effective choice because it is noninferior to alteplase for overall functional outcomes and achieves higher early reperfusion in suspected large-vessel occlusion with similar hemorrhage risk.
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer IV thrombolysis now (e.g., alteplase 0.9 mg/kg) because he is within 4.5 hours and has a clearly disabling ischemic deficit (aphasia) with no hemorrhage on CT, after confirming no contraindications and ensuring blood pressure is <185/110 mmHg."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV alteplase now because the DWI–FLAIR mismatch indicates the stroke is within the 4.5-hour window despite wake-up onset and he has a disabling deficit (neglect) without hemorrhage, assuming no contraindications."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy (preferably short-course dual antiplatelet) should be given rather than IV tenecteplase because this is a minor, likely non-disabling ischemic stroke (NIHSS 3 with mild facial weakness/sensory loss and no aphasia, hemianopia, or severe weakness), for which thrombolysis has not shown benefit and increases hemorrhage risk."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearer primary stroke center for immediate imaging and IV thrombolysis with rapid transfer to a thrombectomy-capable center if large-vessel occlusion is confirmed, because bypassing would add ~45 minutes and current triage guidelines favor the nearest stroke center when the added time to a comprehensive center exceeds about 15–30 minutes."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Initiate emergent endovascular thrombectomy for basilar artery occlusion, administering IV alteplase immediately as bridging therapy since she is within 4.5 hours and has a small infarct core with a large salvageable penumbra."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add any adjuvant antithrombotic during or within 24 hours after IV thrombolysis; instead withhold antithrombotics until a 24-hour follow-up CT excludes hemorrhage and then start aspirin, because early antithrombotics post-tPA have not improved outcomes and increase symptomatic intracranial hemorrhage risk."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Per AHA/ASA guidelines, treat his hyperglycemia with insulin to maintain glucose 140–180 mg/dL while avoiding hypoglycemia, and since he received reperfusion therapy, monitor and keep his blood pressure ≤180/105 mm Hg for at least 24 hours—so his current 155–165 mm Hg needs no acute lowering, with IV agents used only if it rises above this threshold."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because this 12-year-old has a disabling anterior-circulation large-vessel occlusion within 90 minutes and no hemorrhage, current pediatric AHA/ASA guidance supports immediate IV alteplase (0.9 mg/kg; 10% bolus then remainder over 60 minutes, if no contraindications) and urgent endovascular thrombectomy for the left M1 occlusion at an experienced pediatric stroke center, as early reperfusion improves outcomes."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because prehospital imaging and on-board thrombolysis shorten onset-to-treatment times and have been shown to increase reperfusion therapy rates and improve 90-day functional outcomes compared with conventional EMS."
