Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Both intravenous tenecteplase at 0.25 mg/kg body weight (max 25 mg) and alteplase at 0.9 mg/kg body weight are recommended to improve functional outcomes in adult patients with acute ischemic stroke eligible for intravenous thrombolysis within 4.5 hours of symptom onset, with the provided text not indicating one as definitively more effective than the other.",1.0,"CORRECT. The student states that both tenecteplase (0.25 mg/kg, max 25 mg) and alteplase (0.9 mg/kg) are recommended within 4.5 hours and does not claim one is superior, which matches the reference that tenecteplase is not inferior and is recommended to improve outcomes."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Given the patient's presentation within 4.5 hours of symptom onset, an NIHSS score of 4 primarily due to severe aphasia which is considered a clearly disabling deficit, and no evidence of intracranial hemorrhage on noncontrast head CT, the most appropriate next step is to initiate intravenous thrombolysis with either tenecteplase or alteplase as quickly as possible.",1.0,"CORRECT: The student recommends immediate IV thrombolysis within the 4.5-hour window for a clearly disabling aphasia after excluding hemorrhage, which matches guidelines. They do not propose delaying for additional imaging and note acceptable agents (alteplase or tenecteplase)."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Given the patient's wake-up stroke with an unknown onset time of 10 hours, an NIHSS score of 4, and MRI findings of DWI-FLAIR mismatch, intravenous thrombolysis should be considered as MRI DWI-FLAIR mismatch selection is useful for determining eligibility for extended window IVT in such cases.",1.0,"CORRECT: The student recognizes the wake-up stroke with DWI-FLAIR mismatch and recommends IV thrombolysis based on advanced imaging selection, which aligns with extended-window thrombolysis guidelines for unknown-onset strokes."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient should be treated with IV tenecteplase because she presents within the established 4.5-hour window for intravenous thrombolysis and has no contraindications, whereas antiplatelet therapy is generally not recommended concurrently or within 24 hours after IVT due to increased hemorrhagic risk.",0.0,"WRONG: For minor noncardioembolic stroke with NIHSS ≤5 and nondisabling deficits, guidelines favor dual antiplatelet therapy (aspirin plus clopidogrel) rather than IV thrombolysis. The student’s recommendation of IV tenecteplase contradicts the reference guidance."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Prehospital transport should be directed to the comprehensive thrombectomy-capable stroke center, as a meta-analysis indicates that a direct transfer model is superior to a local primary stroke center drip-and-ship approach for functional independence in patients with suspected large vessel occlusion requiring thrombectomy.",0.0,"WRONG: Guidelines indicate transporting to the closer primary stroke center is appropriate, as direct transport to a distant thrombectomy-capable center does not improve 3-month outcomes when systems are coordinated. The student recommends the opposite."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Endovascular thrombectomy is the most appropriate next step in management, as the patient presents with acute ischemic stroke due to basilar artery occlusion within 24 hours of symptom onset, an NIHSS score of 28 (≥10), and imaging consistent with salvageable tissue, meeting the criteria for recommended EVT to improve functional outcomes and reduce mortality.",1.0,"CORRECT. The student identifies endovascular thrombectomy within 24 hours as the appropriate next step for basilar artery occlusion with high NIHSS and salvageable tissue, aligning with guidelines to improve outcomes and reduce mortality."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Adjunctive antithrombotic agents such as IV eptifibatide are not recommended in patients with acute ischemic stroke treated with IV thrombolysis within 3 hours of symptom onset, as studies like the MOST trial showed no reduction in post-stroke disability and were associated with increased 90-day mortality.",1.0,"CORRECT. The student correctly states that adjunctive antithrombotic agents (e.g., eptifibatide) are not recommended with IV thrombolysis because they do not improve outcomes, which aligns with guideline recommendations. Citing trial data (e.g., MOST) supporting lack of benefit and potential harm is consistent with the reference answer."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","The patient's blood glucose should not be intensively lowered with IV insulin to a target range of 80 to 130 mg/dL, as this does not improve functional outcomes, and his systolic blood pressure of 155 to 165 mm Hg is within the recommended range of 140 to 180 mm Hg post-reperfusion therapy, thus not requiring active lowering.",1.0,"CORRECT. The student correctly advises against intensive glucose control to 80–130 mg/dL and recognizes that a systolic BP of 155–165 mm Hg is within the recommended 140–180 mm Hg range post-reperfusion, not requiring further lowering. While the rationale for glucose control differs slightly, it does not contradict the guideline."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current guidelines, intravenous thrombolysis with alteplase may be considered for this 12-year-old patient, given his confirmed acute ischemic stroke, disabling deficits, and presentation within 4.5 hours of symptom onset, although its efficacy in pediatric patients is uncertain.",0.0,"WRONG: The reference emphasizes considering endovascular thrombectomy for pediatric large vessel occlusion at experienced centers. The student recommends IV alteplase and does not mention endovascular intervention, missing the key guideline-directed management."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit is preferred over conventional emergency medical services for this patient to ensure faster treatment and improved outcomes, especially for thrombolytic-eligible individuals.",1.0,"CORRECT: The student correctly states that a mobile stroke unit is preferred when available and highlights faster treatment for thrombolytic-eligible patients, matching the guideline rationale."
