Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase is the more effective form of thrombolytic treatment in this patient, as it has been shown to have a higher recanalization rate and better outcomes compared to alteplase in acute ischemic stroke patients.",0.0,WRONG: Guidelines state that tenecteplase (0.25 mg/kg) is noninferior to alteplase (0.9 mg/kg) and either can be used within 4.5 hours; tenecteplase is recommended to improve functional outcomes but is not proven superior overall. The student incorrectly claims it is more effective with better outcomes.
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administering a 0.9 mg/kg intravenous dose of recombinant tissue plasminogen activator (rtPA) is the most appropriate next step in management, given the patient's presentation of acute ischemic stroke symptoms within the 3- to 4.5-hour time window.",1.0,"CORRECT: The student recommends IV thrombolysis (rtPA 0.9 mg/kg) within the 3–4.5 hour window, which aligns with guidelines for disabling ischemic stroke symptoms after ruling out hemorrhage. This captures the key management step of initiating IV thrombolysis promptly."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The most appropriate next step is to administer intravenous tissue plasminogen activator (tPA) within the next 4.5 hours, as the patient meets the criteria for acute ischemic stroke treatment with tPA despite the lack of corresponding FLAIR signal change.",0.5,"PARTIALLY CORRECT: The student appropriately recommends IV thrombolysis based on the DWI-FLAIR mismatch in a wake-up stroke. However, they incorrectly frame it as within the standard 4.5-hour window rather than extended-window thrombolysis guided by imaging (given now despite unknown onset, up to ~9 hours)."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient should be treated with IV tenecteplase due to her sudden onset of symptoms and the presence of a right facial droop, which suggests a potential large vessel occlusion, despite her relatively low NIHSS score.",0.0,"WRONG: For minor noncardioembolic stroke (NIHSS ≤5) without hemorrhage, guidelines recommend short-course dual antiplatelet therapy, not IV thrombolysis. The student incorrectly recommends IV tenecteplase."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","The patient should be transported directly to the comprehensive thrombectomy-capable stroke center, as the potential benefit of mechanical thrombectomy outweighs the increased transport time, given the patient's high NIHSS score and potential for large vessel occlusion.",0.0,WRONG. Guidelines indicate that bypassing a nearby primary stroke center for a more distant thrombectomy-capable center does not improve outcomes when systems are coordinated; the patient should go to the closer center. The student’s recommendation to transport directly to the distant comprehensive center contradicts this.
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous tissue plasminogen activator (tPA) as soon as possible, ideally within the next 4.5 hours, to attempt to recanalize the occluded basilar artery and salvage the surrounding potentially salvageable tissue.",0.5,"PARTIALLY CORRECT. IV tPA within 4.5 hours can be appropriate, but for proximal basilar artery occlusion with severe deficits and favorable imaging, the recommended next step is urgent endovascular thrombectomy (with or without bridging tPA). The student omitted thrombectomy, which is the key guideline-based intervention."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to continue with IV thrombolysis as planned, without adding an adjuvant antithrombotic agent, as the current evidence does not support the routine use of adjuvant antithrombotic therapy in acute ischemic stroke patients receiving IV thrombolysis.",1.0,"CORRECT: The student states not to add adjuvant antithrombotic therapy with IV thrombolysis, aligning with guidelines that such agents (e.g., argatroban, eptifibatide) do not improve outcomes."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","The patient's blood glucose should be managed to maintain a target range of 140-180 mg/dL, and his blood pressure should be managed to maintain a target systolic blood pressure of less than 140 mm Hg, as per the current stroke guidelines.",0.5,"PARTIALLY CORRECT: The glucose target of 140–180 mg/dL aligns with avoiding intensive control. However, the blood pressure recommendation is incorrect; guidelines suggest a systolic target of 140–180 mm Hg and avoiding lowering below 140 mm Hg after reperfusion."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","This patient should be immediately administered intravenous tissue plasminogen activator (tPA) within the next 4.5 hours of symptom onset, as per the current American Heart Association guidelines for acute ischemic stroke in children.",0.0,"WRONG: Current pediatric guidelines emphasize considering endovascular thrombectomy for large vessel occlusion at experienced centers. Routine IV tPA is not recommended for children, especially a 12-year-old, outside of specific circumstances or trials."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit (MSU) is preferred in this scenario because it is equipped with advanced imaging capabilities, such as CT or MRI, and can provide immediate thrombolysis or mechanical thrombectomy, potentially improving outcomes in acute ischemic stroke patients.",0.5,"PARTIALLY CORRECT: The MSU is the preferred service and can expedite thrombolysis through on-board imaging and assessment. However, MSUs typically use CT (not MRI) and do not perform mechanical thrombectomy; they triage and transport patients for EVT."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","Intravenous glibenclamide should not be initiated in this patient, as it is not a standard treatment for acute ischemic stroke and its use is not supported by current guidelines or evidence.",1.0,"CORRECT: The student concludes that intravenous glibenclamide should not be initiated and cites lack of supporting evidence/guidelines, aligning with the recommendation that it is not beneficial and not recommended in this setting."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?","The patient should be managed with a comprehensive dysphagia management plan, including dietary modifications, thickened liquids, and possibly a percutaneous endoscopic gastrostomy (PEG) tube, as recommended by the American Heart Association/American Stroke Association guidelines.",0.5,"PARTIALLY CORRECT: The student mentions general dysphagia measures (dietary modifications, thickened liquids), which are reasonable, but fails to identify pharyngeal electrical stimulation—the key guideline-supported intervention noted in the reference. The PEG mention is nonspecific and does not address the highlighted therapy."
"A 69-year-old man with a history of hypertension and atrial fibrillation presents to the emergency department 2 hours after sudden onset of right-sided weakness and aphasia. On examination, he has dense right hemiparesis and expressive aphasia, with a NIHSS of 17. Noncontrast head CT shows no intracranial hemorrhage, and CT angiography reveals an occlusion of the left proximal middle cerebral artery, M1 segment. He is an appropriate candidate for endovascular thrombectomy (EVT). How should the use of tirofiban be approached in this patient?","Tirofiban, a glycoprotein IIb/IIIa inhibitor, should be used with caution in this patient, as its use may increase the risk of bleeding and is generally not recommended in the setting of acute ischemic stroke, especially in patients undergoing EVT.",1.0,"CORRECT. The student states tirofiban is generally not recommended in acute ischemic stroke, especially with EVT, aligning with the guideline that preoperative tirofiban before EVT is not useful. The added bleeding-risk rationale does not contradict the guidance."
A 7-year-old girl with no significant past medical history is brought to the ED by her parents after sudden onset of right arm weakness and slurred speech that began 90 minutes earlier. What stroke screening tools should be used?,"The National Institutes of Health Stroke Scale (NIHSS) and the Pediatric Stroke Scale (PedSS) should be used to assess the child's neurological deficits, as the NIHSS is the standard tool for adult stroke patients and the PedSS is specifically designed for pediatric patients.",0.0,"WRONG: Adult NIHSS is not reliable in children, and recommended pediatric tools are PedNIHSS and PedRACE. The student suggests using NIHSS and an incorrect PedSS, failing to name the appropriate pediatric-adapted tools."
"A 67-year-old woman with a history of hypertension and hyperlipidemia presented to the emergency department 18 hours after sudden onset of left arm weakness and mild slurred speech that resolved within 30 minutes. On arrival, her neurologic examination shows only subtle left hand clumsiness. Her NIHSS score is 3. Brain MRI shows a small acute infarct in the right frontal cortex. CT angiography shows 70% stenosis of the right internal carotid artery. Cardiac monitoring and echocardiography show no evidence of atrial fibrillation or other cardioembolic source. She did not receive intravenous thrombolysis. How should this patient’s antiplatelet therapy be managed?","This patient should be started on dual antiplatelet therapy with aspirin and clopidogrel, given her high-risk profile for recurrent ischemic stroke despite the small size of the initial infarct.",0.5,"PARTIALLY CORRECT. The student correctly recommends dual antiplatelet therapy with aspirin and clopidogrel, but does not specify the recommended 21-day duration and subsequent transition to single antiplatelet therapy."
