Q,A
"A 48 year-old female with a history of type 2 diabetes  and hyperlipidemia is brought to the emergency department after left sided weakness and expressive aphasia that begins 2 hours prior to arrival. Her stroke scale is 5. Non-contrast head ct shows no intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Neither—within 4.5 hours, tenecteplase 0.25 mg/kg and alteplase 0.9 mg/kg yield comparable functional outcomes and safety (tenecteplase shown noninferior in multiple phase 3 RCTs), so either is recommended, with tenecteplase often favored for its single-bolus administration."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset of left facial droop and slurred speech. His NIH Stroke Scale score is 4, driven primarily by aphasia, which is felt to be a disabling deficit. Noncontrast head ct shows no intracranial hemorrhage. What is the most appropriate next step?","Administer IV thrombolysis with alteplase (0.9 mg/kg, max 90 mg) immediately because he presents 90 minutes from onset with a clearly disabling aphasia despite a low NIHSS and a negative head CT, for which guidelines recommend treatment."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided weakness and neglect upon awakening. His last known well was approximately 10 hours earlier and his NIH stroke scale score is 4. Noncontrast head CT shows no intracranial hemorrhage. MRI of the brain shows restricted diffusions through the right middle cerebral artery on diffusion weighted imaging. However, there is no corresponding signal change on fluid-attenuated inversion recovery. What is the most appropriate next step?","Administer IV thrombolysis (e.g., alteplase or tenecteplase) now because the DWI–FLAIR mismatch in this wake-up stroke indicates treatable tissue despite a 10-hour last-known-well and the patient has disabling deficits with no intracranial hemorrhage."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. Sensory testing reveals isolated decreased pinprick sensation over her face and hand. Her NIH Stroke Scale was a 1. Noncontrast head CT shows no intracranial hemorrhage. WHat is the recommended course of treatment for this patient?","Withhold IV thrombolysis because her symptoms are minor and not clearly disabling (isolated hemisensory loss, NIHSS 1), and initiate early dual antiplatelet therapy with aspirin plus clopidogrel for 21 days followed by single antiplatelet therapy to reduce 90-day recurrent stroke risk."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a National Institutes of Health Stroke Scale (NIHSS) score of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center with EMS prenotification for immediate imaging and IV thrombolysis, then expedite transfer for thrombectomy if LVO is confirmed, because randomized data and 2026 guidelines show no outcome benefit—and reduced IVT use—when bypassing a capable local center for a thrombectomy-capable center 45–60 minutes farther away."
"A 72 year old woman presents to the ED 4 hours after sudden onset of left sided weakness, aphasia, and rightward gaze deviation. On examination she has global aphasia and his NIH stroke Scale score is 19. Noncontrast head CT shows early ischemic changes in the right MCA territory. CT angiography shows an occlusion of the proximal right MCA  M1 segment. CT perfusion shows a large ischemic core with limited hypoperfused tissue. Given the large ischemic core, can endovascular thrombectomy be performed?","Yes—EVT can be performed because in the 0–6-hour window patients <80 years with proximal ICA/M1 LVO and NIHSS ≥6 are eligible, with EVT recommended for ASPECTS 3–10 and reasonable even for ASPECTS 0–2 if there is no significant mass effect and prestroke mRS 0–1, despite a large core."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIH Stroke Scale score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. The patient is treated with intravenous thrombolysis and the stroke team debates whether adding an adjuvant antithrombotic agent might improve clinical outcomes. What is the most appropriate management decision?","Do not add any adjuvant antithrombotic during or soon after IV thrombolysis; instead withhold antiplatelets for 24 hours and initiate aspirin only after a 24-hour CT excludes hemorrhage, because adjunctive agents (eptifibatide, abciximab, tirofiban, or early IV aspirin) have no proven benefit and increase bleeding risk per AIS guidelines."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his stolic blood pressure ranges from 155 to 165 mm Hg.  Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Use standard glycemic control with subcutaneous insulin to target 140–180 mg/dL and avoid hypoglycemia (intensive IV insulin to 80–130 mg/dL is not recommended), and manage blood pressure permissively with a goal SBP <180/105 mm Hg for at least 24 hours after IV thrombolysis—avoiding intensive reduction to <140 mm Hg, particularly after successful EVT—so his current SBP of 155–165 mm Hg is acceptable without aggressive lowering."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIH stroke scale score is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","Because he is ≥6 years old with a disabling anterior-circulation large-vessel occlusion within 6 hours and no hemorrhage, current guidelines recommend immediate endovascular thrombectomy by an experienced neurointerventionalist and, given presentation within 4.5 hours, consideration of IV alteplase as bridging therapy after pediatric stroke consultation, as EVT improves outcomes in children whereas IVT appears safe though its efficacy is uncertain."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the Mobile Stroke Unit, because randomized trials and meta-analyses show MSUs provide on-scene imaging and specialist care that shorten onset-to-needle time, increase golden-hour thrombolysis, improve 90-day functional outcomes, and safely expedite LVO triage compared with conventional EMS."
