Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase is more effective due to its non-inferiority to
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer intravenous alteplase given the acute onset, disabling aphasia, and absence of hemorrhage on noncontrast head CT."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?",Administer IV alteplase given DWI-FLAIR mismatch indicating recent stroke onset despite the
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?",This patient should be treated with IV tenecteplase because she presents within the therapeutic window for acute ischemic stroke with disabling symptoms and no contraindications on head CT.
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?",Transport directly to the comprehensive thrombectomy-capable stroke center due to high NIHSS suggesting large vessel occlusion requiring
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Given the proximal basilar artery occlusion, severe neurologic deficits, and favorable CT perfusion imaging showing salvageable tissue, the most appropriate next step is emergent mechanical thrombectomy."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?",Do not add an adjuvant antithrombotic agent due to the significantly increased risk of hemorrhagic transformation following IV thrombolysis.
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Blood glucose should be managed to maintain levels below 180 mg/dL, while blood pressure in the range of 155-165 mm Hg is acceptable post-reperfusion therapy and does not require immediate lowering."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current guidelines, this patient should undergo mechanical thrombectomy for the left MCA M1 occlusion given the presentation within the time window."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit is preferred because it allows for earlier diagnosis and treatment initiation, which improves patient outcomes in acute ischemic stroke."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","No, intravenous glibenclamide is not a standard treatment for acute ischemic stroke."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?",Initiate thickened liquids and swallow therapy; consider NPO with enteral feeding if aspiration persists or nutritional needs
"A 69-year-old man with a history of hypertension and atrial fibrillation presents to the emergency department 2 hours after sudden onset of right-sided weakness and aphasia. On examination, he has dense right hemiparesis and expressive aphasia, with a NIHSS of 17. Noncontrast head CT shows no intracranial hemorrhage, and CT angiography reveals an occlusion of the left proximal middle cerebral artery, M1 segment. He is an appropriate candidate for endovascular thrombectomy (EVT). How should the use of tirofiban be approached in this patient?","Tirofiban should generally be avoided before endovascular thrombectomy due to increased bleeding risk, unless"
A 7-year-old girl with no significant past medical history is brought to the ED by her parents after sudden onset of right arm weakness and slurred speech that began 90 minutes earlier. What stroke screening tools should be used?,"The Pediatric NIHSS (P-NIHSS) or a modified NIHSS, along with the Glasgow Coma Scale (GCS), should be used to assess neurological deficits and level of consciousness in this pediatric patient."
"A 67-year-old woman with a history of hypertension and hyperlipidemia presented to the emergency department 18 hours after sudden onset of left arm weakness and mild slurred speech that resolved within 30 minutes. On arrival, her neurologic examination shows only subtle left hand clumsiness. Her NIHSS score is 3. Brain MRI shows a small acute infarct in the right frontal cortex. CT angiography shows 70% stenosis of the right internal carotid artery. Cardiac monitoring and echocardiography show no evidence of atrial fibrillation or other cardioembolic source. She did not receive intravenous thrombolysis. How should this patient’s antiplatelet therapy be managed?","Initiate dual antiplatelet therapy (e.g., aspirin and clopidogrel)"
